1,Παντελής Αγγελέτος,2108624473,Πατησίων 239,Μαγαζί με μπαχαρικά,https://maps.google.com/maps?q=%CE%A0%CE%B1%CF%84%CE%B7%CF%83%CE%AF%CF%89%CE%BD%20239&t=&z=17&ie=UTF8&iwloc=&output=embed
2,Βόβλας Λάμπρος ,2112148137,Τραπεζούντος 47 Υμηττός ,Μίνι μάρκετ,https://maps.google.com/maps?q=%CE%A4%CF%81%CE%B1%CF%80%CE%B5%CE%B6%CE%BF%CF%8D%CE%BD%CF%84%CE%BF%CF%82%2047&t=&z=17&ie=UTF8&iwloc=&output=embed
3,Δήμου Γεώργιος,2108676801,Αριστομένους 138 Αθήνα,Αρτοποιείο,https://maps.google.com/maps?q=ARISTOMENOYS%20138&t=&z=17&ie=UTF8&iwloc=&output=embed
4,ΔΈΚΑ ΤΡΌΦΙΜΑ ΕΠΕ,2109654610,Αναργυρούντος 22 Βάρη,Σούπερ μάρκετ Κρεάτων,https://maps.google.com/maps?q=%CE%91%CE%BD%CE%B1%CF%81%CE%B3%CF%85%CF%81%CE%BF%CF%8D%CE%BD%CF%84%CE%BF%CF%82%2022%20&t=&z=17&ie=UTF8&iwloc=&output=embed
5,Ζαγκλής Ιωάννης ,2109234924,Ευδόξου 30 Νέος Κόσμος,Κάβα ποτών,https://maps.google.com/maps?q=%CE%95%CE%A5%CE%94%CE%8C%CE%9E%CE%9F%CE%A5%2030&t=&z=17&ie=UTF8&iwloc=&output=embed
6,ΚΡΕ.ΠΑΠ.ΕΠΕ ,2105756788,Θηβών 263 Περιστέρι,Σούπερ μάρκετ Κρεάτων,https://maps.google.com/maps?q=%CE%B8%CE%B7%CE%B2%CF%89%CE%BD%20263&t=&z=17&ie=UTF8&iwloc=&output=embed
7,ΚΡΕ.ΠΑΠ.ΕΠΕ ,2105061242,Καρύστου 2 Πετρούπολη,https://maps.google.com/maps?q=%CE%BA%CE%B1%CF%81%CF%85%CF%83%CF%84%CE%BF%CF%85%202&t=&z=17&ie=UTF8&iwloc=&output=embed
8,ΚΡΕ.ΠΑΠ.ΕΠΕ ,2105761001,Αγίου Ιεροθέου 108 Περιστέρι,https://maps.google.com/maps?q=%CE%91%CE%B3%CE%AF%CE%BF%CF%85%20%CE%99%CE%B5%CF%81%CE%BF%CE%B8%CE%AD%CE%BF%CF%85%20108&t=&z=17&ie=UTF8&iwloc=&output=embed
9,ΚΡΕ.ΠΑΠ.ΕΠΕ ,2105622411,Σίφνου 59 Αγία Βαρβάρα Αιγάλεω,https://maps.google.com/maps?q=%CE%A3%CE%AF%CF%86%CE%BD%CE%BF%CF%85%2059%2C%20%CE%B1%CE%B3%CE%AF%CE%B1%20%CE%B2%CE%B1%CF%81%CE%B2%CE%AC%CF%81%CE%B1&t=&z=17&ie=UTF8&iwloc=&output=embed
10,Το Ζυμομέλι (Λαμπρινού Ελένη) ,2109818440,Ζησιμοπούλου 107 Παλαιό Φάληρο,Παραδοσιακά προϊόντα,https://maps.google.com/maps?q=%CE%96%CE%B7%CF%83%CE%B9%CE%BC%CE%BF%CF%80%CE%BF%CF%8D%CE%BB%CE%BF%CF%85%20107%2C%20%CF%80%CE%B1%CE%BB%CE%B1%CE%B9%CE%BF%20%CF%86%CE%B1%CE%BB%CE%B7%CF%81%CE%BF&t=&z=17&ie=UTF8&iwloc=&output=embed
11,Κοττή Φωτεινή ,2109615233,Κρώμνης 46 Αργυρούπολη,Μίνι μάρκετ,https://maps.google.com/maps?q=%CE%9A%CF%81%CF%8E%CE%BC%CE%BD%CE%B7%CF%82%2046%20%CE%91%CF%81%CE%B3%CF%85%CF%81%CE%BF%CF%8D%CF%80%CE%BF%CE%BB%CE%B7&t=&z=17&ie=UTF8&iwloc=&output=embed
12,Καραγιώργος Γεώργιος ,2106922542,Βαρνακιώτη 4 Αμπελόκηποι ,Κρεοπωλείο,https://maps.google.com/maps?q=%CE%92%CE%B1%CF%81%CE%BD%CE%B1%CE%BA%CE%B9%CF%8E%CF%84%CE%B7%204%20%CE%91%CE%BC%CF%80%CE%B5%CE%BB%CF%8C%CE%BA%CE%B7%CF%80%CE%BF%CE%B9&t=&z=17&ie=UTF8&iwloc=&output=embed
13,Ο Αρωδαμός ,2109757866,Αγίου Δημητρίου 88 Άγιος Δημήτριος,https://maps.google.com/maps?q=%CE%91%CE%B3%CE%AF%CE%BF%CF%85%20%CE%94%CE%B7%CE%BC%CE%B7%CF%84%CF%81%CE%AF%CE%BF%CF%85%2088%20%CE%86%CE%B3%CE%B9%CE%BF%CF%82%20%CE%94%CE%B7%CE%BC%CE%AE%CF%84%CF%81%CE%B9%CE%BF%CF%82&t=&z=17&ie=UTF8&iwloc=&output=embed
14,Αγνές Γεύσεις Αρκάδων ,2130335955,Στρατηγού Καραϊσκάκη 36 Χαϊδάρι,https://maps.google.com/maps?q=%CE%A3%CF%84%CF%81%CE%B1%CF%84%CE%B7%CE%B3%CE%BF%CF%8D%20%CE%9A%CE%B1%CF%81%CE%B1%CF%8A%CF%83%CE%BA%CE%AC%CE%BA%CE%B7%2036%20%CE%A7%CE%B1%CF%8A%CE%B4%CE%AC%CF%81%CE%B9&t=&z=17&ie=UTF8&iwloc=&output=embed
15,Λαγός Χρήστος -2109962035,-,Ηρώων Πολυτεχνείου 55 Ηλιούπολη ,Κρεοπωλείο,https://maps.google.com/maps?q=%CE%97%CF%81%CF%8E%CF%89%CE%BD%20%CE%A0%CE%BF%CE%BB%CF%85%CF%84%CE%B5%CF%87%CE%BD%CE%B5%CE%AF%CE%BF%CF%85%2055%20%CE%97%CE%BB%CE%B9%CE%BF%CF%8D%CF%80%CE%BF%CE%BB%CE%B7&t=&z=17&ie=UTF8&iwloc=&output=embed
16,Η Στρούγκα του Μοριά ,103216351,Ευριπίδου 21 ,Τυροκομικά προϊόντα Μπίτσικας,https://maps.google.com/maps?q=%CE%95%CF%85%CF%81%CE%B9%CF%80%CE%AF%CE%B4%CE%BF%CF%85%2021&t=&z=17&ie=UTF8&iwloc=&output=embed
17,Τσιπλαντώνης Βαρύτης ,106813717,Kράτους 3 Χαλάνδρι,Κάβα,https://maps.google.com/maps?q=38.02133070000001%2C23.798629699999992&t=&z=17&ie=UTF8&iwloc=&output=embed
18,Γαλανάκης Δημήτριος,-,Άρτης 12 Παλαιά Κοκκινιά ,Πρατήριο Άρτου,https://maps.google.com/maps?q=%CE%86%CF%81%CF%84%CE%B7%CF%82%2012%20%CE%A0%CE%B1%CE%BB%CE%B1%CE%B9%CE%AC%20%CE%9A%CE%BF%CE%BA%CE%BA%CE%B9%CE%BD%CE%B9%CE%AC&t=&z=17&ie=UTF8&iwloc=&output=embed
